ancre_textuelle,commentaire,gravite,categorie
PROTOCOLE MÉTHODOLOGIQUE DE L’ÉTUDE,"Vérifier couverture de la checklist: 'Voici le contenu proposé pour modes/diagnostic/instructions/checklist.md. Il formalise une relecture séquentielle et exhaustive du Diagnostic écologique / État initial. Chaque point doit être traité intégralement sur l’ensemble du document avant de passer au point suivant. La production attendue est un tableau d’anomalies (3 colonnes) et, en fin de chaîne, un fichier Word unique avec suivi des modifications et commentaires.'.",P3,redaction
PROTOCOLE MÉTHODOLOGIQUE DE L’ÉTUDE,Vérifier couverture de la checklist: 'Checklist — Diagnostic (VNEI)'.,P3,redaction
PROTOCOLE MÉTHODOLOGIQUE DE L’ÉTUDE,"Vérifier couverture de la checklist: '0. Principes, périmètre et sortie attendue'.",P3,redaction
PROTOCOLE MÉTHODOLOGIQUE DE L’ÉTUDE,"Vérifier couverture de la checklist: 'Cette checklist impose un passage point par point, dans l’ordre. Le point n n’est traité qu’une fois le point n–1 entièrement bouclé sur tout le document et ses annexes.'.",P3,redaction
PROTOCOLE MÉTHODOLOGIQUE DE L’ÉTUDE,"Vérifier couverture de la checklist: 'Tout constat doit être sourcé avec : Localisation précise (section/page/paragraphe/figure/tableau), Preuve (extrait entre guillemets) et Impact.'.",P3,carto
PROTOCOLE MÉTHODOLOGIQUE DE L’ÉTUDE,Vérifier couverture de la checklist: 'Gravité : P1 = risque de non-conformité / fragilisation majeure de l’instruction ; P2 = fragilisation moyenne / doute méthodologique ; P3 = qualité rédactionnelle / présentations perfectibles.'.,P2,methodologie
PROTOCOLE MÉTHODOLOGIQUE DE L’ÉTUDE,"Vérifier couverture de la checklist: 'Livrable final (en fin de pipeline) : un seul fichier Word dans output/, copie annotée (suivi des modifs + commentaires) du diagnostic.'.",P3,redaction
PROTOCOLE MÉTHODOLOGIQUE DE L’ÉTUDE,Vérifier couverture de la checklist: 'Format standard d’une ligne d’anomalie'.,P3,redaction
PROTOCOLE MÉTHODOLOGIQUE DE L’ÉTUDE,"Vérifier couverture de la checklist: 'Localisation | Description du problème (catégorie; gravité; preuve ""…"") | Suggestion d’amélioration'.",P3,redaction
PROTOCOLE MÉTHODOLOGIQUE DE L’ÉTUDE,Vérifier couverture de la checklist: '1. Identité du dossier et métadonnées (tolérance zéro copier-coller)'.,P3,redaction
PROTOCOLE MÉTHODOLOGIQUE DE L’ÉTUDE,Vérifier couverture de la checklist: 'But. Éliminer toute contamination inter-projets et verrouiller l’identité du dossier.'.,P3,redaction
PROTOCOLE MÉTHODOLOGIQUE DE L’ÉTUDE,"Vérifier couverture de la checklist: 'À vérifier. Nom du projet, maître d’ouvrage, localisation (communes, départements, lieux-dits, coordonnées, contexte géographique), dates (terrains, rédaction, bibliographie), numéros/versions du dossier, intitulé des sections.'.",P3,redaction
PROTOCOLE MÉTHODOLOGIQUE DE L’ÉTUDE,"Vérifier couverture de la checklist: 'Procédure. Balayer le texte, les en-têtes/pieds de page, les tableaux récapitulatifs, les légendes de figures et les annexes. Croiser les occurrences.'.",P3,carto
